valid_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2023-02-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-17 01:00:00,0.4,1.0,3.2,0.5,0.9,1.2,1.5,0.3,0.2,0.7,0.3,0.2,0.1,0.3,3.4,0.2,1.0,0.6,1.1,0.3,2.1,0.3,1.2,0.8,0.3,0.3,0.4,1.4,0.1,0.4,1.1,0.4,0.5,0.3,0.2,0.7,0.6,0.2,0.3,1.1,0.1,1.5,1.7,1.9,0.2,0.3,0.6,0.2,0.2,1.3,0.4
2023-02-17 02:00:00,0.7,2.9,5.5,1.1,1.6,1.7,2.4,0.6,0.3,0.9,0.5,0.5,0.1,0.5,8.0,0.4,1.4,0.9,1.8,0.5,2.4,0.4,1.2,0.9,0.4,0.6,0.8,1.5,0.2,0.9,1.8,0.6,0.7,0.5,0.2,1.2,0.8,0.3,0.4,1.5,0.1,2.0,3.6,4.2,0.2,0.4,1.2,0.5,0.2,1.4,1.4
2023-02-17 03:00:00,0.7,3.0,5.6,1.2,1.6,1.8,2.6,0.7,0.3,1.0,0.7,0.6,0.1,0.6,8.9,0.5,1.4,0.9,1.9,0.6,2.5,0.4,1.2,0.9,0.7,0.8,0.9,1.8,0.2,1.0,2.1,0.6,0.7,0.7,0.3,1.2,0.8,0.3,0.4,1.5,0.1,2.2,3.7,4.2,0.3,0.4,1.2,0.6,0.2,1.7,1.6
2023-02-17 04:00:00,0.7,3.1,5.7,1.3,1.6,1.8,2.6,0.9,0.3,1.0,0.7,0.6,0.1,0.6,8.9,0.5,1.4,1.1,2.1,0.6,2.5,0.5,1.5,0.9,0.9,0.9,1.0,2.1,0.2,1.0,2.3,0.6,0.7,1.0,0.3,1.2,0.8,0.3,0.4,1.5,0.1,2.3,3.7,4.2,0.3,0.5,1.2,0.7,0.2,1.9,1.6
2023-02-17 05:00:00,0.7,3.1,5.7,1.6,1.6,1.8,2.7,1.0,0.3,1.0,0.7,0.6,0.1,0.6,8.9,0.8,1.4,1.5,2.2,0.6,2.5,0.7,1.6,0.9,1.1,0.9,1.1,2.1,0.2,1.0,2.5,0.6,0.7,1.0,0.3,1.2,1.2,0.3,0.4,1.5,0.2,2.3,3.7,4.2,0.3,0.5,1.2,0.7,0.2,2.0,1.7
2023-02-17 06:00:00,0.9,3.3,6.0,1.7,1.7,1.8,2.8,1.0,0.5,1.0,1.1,0.7,0.1,0.6,9.0,2.0,1.6,1.6,2.9,1.0,2.8,0.7,2.1,0.9,4.0,1.0,1.5,2.1,0.4,1.3,3.8,0.6,1.0,1.1,0.3,1.2,2.6,0.3,0.4,1.5,0.7,2.7,3.9,4.3,0.3,0.6,1.2,0.7,0.2,2.2,1.8
2023-02-17 07:00:00,1.7,3.9,6.4,2.2,2.2,2.0,3.2,3.2,2.7,1.6,2.6,0.7,0.1,1.6,9.2,3.4,2.5,2.0,3.9,3.3,3.1,0.9,3.6,1.8,4.4,2.7,2.9,2.8,1.1,3.5,5.5,0.9,2.6,1.3,0.5,1.3,4.7,0.7,0.4,1.6,2.0,4.3,4.6,4.7,0.4,1.5,1.6,1.0,0.7,3.7,3.4
2023-02-17 08:00:00,3.4,5.8,7.0,3.5,3.1,2.6,3.7,5.0,5.9,4.1,4.6,1.3,2.2,4.3,9.9,3.7,2.6,3.0,4.7,4.7,3.2,1.8,5.7,4.3,5.0,5.8,3.5,3.6,2.3,6.9,7.4,2.1,5.1,1.7,1.1,2.2,7.9,1.8,0.4,2.0,3.4,4.8,5.2,5.7,0.5,2.6,5.2,3.0,1.9,4.3,4.1
2023-02-17 09:00:00,5.8,8.6,7.8,5.6,4.0,3.5,5.3,6.5,7.9,7.1,6.4,2.0,5.4,5.8,10.4,5.3,3.3,4.0,6.3,7.3,3.8,3.0,7.0,6.5,6.3,8.6,3.7,3.9,3.1,9.4,8.7,3.7,8.1,1.9,3.0,3.3,8.8,4.3,0.9,2.1,3.8,7.9,6.6,6.6,0.6,5.8,6.5,4.1,2.4,4.8,5.0
2023-02-17 10:00:00,7.5,10.2,8.6,8.2,4.4,3.9,6.2,6.8,8.8,8.8,8.5,2.9,5.6,6.9,10.5,6.1,4.3,4.6,8.4,11.0,4.1,5.7,9.1,8.2,7.6,9.4,4.0,4.1,3.3,10.6,9.3,4.3,11.6,2.8,4.4,3.3,9.7,5.5,0.9,2.2,4.1,9.9,7.5,7.0,0.6,8.0,7.2,4.9,4.0,5.4,5.2
2023-02-17 11:00:00,8.4,10.8,9.0,15.4,4.9,6.4,7.0,6.9,9.0,10.0,9.9,3.1,5.8,7.2,10.7,6.3,4.7,4.6,11.4,16.3,5.1,6.6,17.4,8.6,8.9,10.3,5.1,4.3,4.6,11.3,10.1,5.0,14.2,3.8,5.2,3.8,11.9,6.7,0.9,2.2,4.9,12.2,8.1,7.3,0.8,9.0,7.4,5.9,4.5,5.5,5.2
2023-02-17 12:00:00,9.2,11.7,9.2,17.7,6.2,8.2,8.5,7.6,9.0,10.4,10.7,3.6,6.4,7.9,11.0,6.3,5.2,4.8,12.6,18.9,5.6,6.9,31.1,9.0,9.4,13.2,5.6,4.4,5.5,12.7,14.9,5.3,15.1,5.0,5.9,4.8,14.7,7.3,1.0,2.3,5.9,14.9,8.8,7.4,1.5,9.7,7.5,6.5,5.2,5.6,5.6
2023-02-17 13:00:00,10.2,11.8,9.7,20.1,7.7,10.7,9.7,8.6,9.7,10.9,11.2,4.1,6.9,12.6,11.3,6.8,6.1,5.2,13.8,21.5,6.3,7.3,42.8,9.2,10.1,14.3,6.1,6.4,6.6,13.9,23.0,5.8,15.3,8.7,6.2,5.0,16.0,7.5,1.2,2.7,6.4,15.2,9.4,7.8,2.4,10.2,7.8,6.9,6.0,5.6,6.4
2023-02-17 14:00:00,11.0,11.8,10.5,20.5,9.2,12.8,10.4,9.3,10.4,11.3,11.8,4.8,7.4,17.3,12.1,7.5,7.6,5.7,14.0,22.0,7.6,7.9,45.3,9.7,10.8,14.9,6.4,7.6,7.3,14.7,28.3,6.1,15.5,11.8,6.9,5.3,16.3,7.8,1.7,4.3,6.7,15.3,9.7,8.6,2.6,11.7,8.4,7.2,7.6,5.8,7.1
2023-02-17 15:00:00,11.8,11.9,12.0,20.6,10.9,14.9,10.8,9.7,10.7,11.5,12.4,5.4,8.1,17.7,15.8,10.5,9.6,10.3,14.2,23.1,8.5,12.0,46.2,10.1,11.2,15.0,6.5,12.6,7.9,15.3,28.4,6.4,16.0,12.4,7.7,5.5,18.0,8.1,2.7,5.3,6.9,15.4,9.8,10.0,3.1,13.5,9.3,7.6,9.8,5.9,10.8
2023-02-17 16:00:00,12.2,11.9,13.3,20.8,13.4,17.7,11.4,10.0,10.7,12.1,13.2,5.9,9.3,18.2,17.3,11.1,12.1,14.4,14.2,24.2,9.8,14.8,50.7,10.5,11.3,15.1,6.5,17.2,8.6,15.5,28.4,8.2,16.9,12.6,8.6,5.7,21.7,8.2,4.5,6.8,7.1,15.4,9.8,10.4,3.5,16.2,10.0,8.3,10.3,6.1,18.8
